OrderNo,StoreName,Cost,Location,Date,Status
5056853528,ApnaDesiChulha,256.45,"GillcoValley,Chandigarh",30 July 2023,True
5043054868,FirstBitePizza,141.95,"KhararRoad,Chandigarh",30 July 2023,True
5061345523,ApnaDesiChulha,256.45,"GillcoValley,Chandigarh",29 July 2023,True
5061399665,BikkganeBiryani,433.45,"Phase5,Chandigarh",29 July 2023,True
5043335423,BikkganeBiryani,429.95,"Phase5,Chandigarh",23 July 2023,True
5036193927,ShamaDhaba,209,"LandranRoad,Chandigarh",21 July 2023,True
5040579266,ShamaDhaba,209,"LandranRoad,Chandigarh",21 July 2023,False
5030651168,DumSafarBiryani,351.84,"Sector46,Chandigarh",16 July 2023,True
5009954276,ChachaDhaba,360.95,"GillcoValley,Chandigarh",08 July 2023,True
4981374288,BrarBuffet&Dhaba,323.50,"Phase7,Chandigarh",25 June 2023,True
4973965993,DominicPizza,297.48,"Sector40,Chandigarh",22 June 2023,True
4937660345,DumSafarBiryani,420.95,"Sector46,Chandigarh",12 June 2023,True
4920480136,GrandKataniTDI,344.28,"TDICity,Chandigarh",09 June 2023,True
4936074955,BiryaniBlues,596.15,"Phase5,Chandigarh",08 June 2023,True
4929912191,BiryaniBlues,596.15,"Phase5,Chandigarh",08 June 2023,False
2207885313,SuperHajiBiryani,213.70,"MaldaLocality,Malda",27 March 2022,True
3573997604,Mouchak,226.25,"MaldaLocality,Malda",21 March 2022,True
2527475716,Mouchak,226.25,"MaldaLocality,Malda",27 March 2022,False
3271547859,Lazeez,1896.55,"MaldaLocality,Malda",21 March 2022,True
